method,pdb_id,decoy_rank,src_model,out_pdb
af3,3QRX,0,predictions\_raw\af3\3QRX\fold_3qrx_model_0.cif,predictions\af3\3QRX_rank00.pdb
af3,3QRX,1,predictions\_raw\af3\3QRX\fold_3qrx_model_1.cif,predictions\af3\3QRX_rank01.pdb
af3,3QRX,2,predictions\_raw\af3\3QRX\fold_3qrx_model_2.cif,predictions\af3\3QRX_rank02.pdb
af3,3QRX,3,predictions\_raw\af3\3QRX\fold_3qrx_model_3.cif,predictions\af3\3QRX_rank03.pdb
af3,3QRX,4,predictions\_raw\af3\3QRX\fold_3qrx_model_4.cif,predictions\af3\3QRX_rank04.pdb
af3,4E81,0,predictions\_raw\af3\4E81\fold_4e81_model_0.cif,predictions\af3\4E81_rank00.pdb
af3,4E81,1,predictions\_raw\af3\4E81\fold_4e81_model_1.cif,predictions\af3\4E81_rank01.pdb
af3,4E81,2,predictions\_raw\af3\4E81\fold_4e81_model_2.cif,predictions\af3\4E81_rank02.pdb
af3,4E81,3,predictions\_raw\af3\4E81\fold_4e81_model_3.cif,predictions\af3\4E81_rank03.pdb
af3,4E81,4,predictions\_raw\af3\4E81\fold_4e81_model_4.cif,predictions\af3\4E81_rank04.pdb
af3,4EZO,0,predictions\_raw\af3\4EZO\fold_4ezo_model_0.cif,predictions\af3\4EZO_rank00.pdb
af3,4EZO,1,predictions\_raw\af3\4EZO\fold_4ezo_model_1.cif,predictions\af3\4EZO_rank01.pdb
af3,4EZO,2,predictions\_raw\af3\4EZO\fold_4ezo_model_2.cif,predictions\af3\4EZO_rank02.pdb
af3,4EZO,3,predictions\_raw\af3\4EZO\fold_4ezo_model_3.cif,predictions\af3\4EZO_rank03.pdb
af3,4EZO,4,predictions\_raw\af3\4EZO\fold_4ezo_model_4.cif,predictions\af3\4EZO_rank04.pdb
af3,4EZR,0,predictions\_raw\af3\4EZR\fold_4ezr_model_0.cif,predictions\af3\4EZR_rank00.pdb
