method,subset,n,n_error,dockq_mean,dockq_median,pct_acceptable,pct_medium,pct_high,mean_irmsd,mean_fnat
af3,all,2,0,0.288,0.288,1.0,0.0,0.0,3.14,0.15
af3,ok-only,2,0,0.288,0.288,1.0,0.0,0.0,3.14,0.15
afmultimer,all,2,0,0.458,0.458,0.5,0.5,0.0,2.88,0.49
afmultimer,ok-only,1,0,0.746,0.746,1.0,1.0,0.0,0.88,0.81
boltz,all,1,0,0.928,0.928,1.0,1.0,1.0,0.51,0.9
boltz,ok-only,1,0,0.928,0.928,1.0,1.0,1.0,0.51,0.9
chai,all,2,0,0.291,0.291,0.5,0.0,0.0,3.45,0.23
chai,ok-only,2,0,0.291,0.291,0.5,0.0,0.0,3.45,0.23
protenix,all,2,0,0.805,0.805,1.0,1.0,0.5,1.06,0.83
protenix,ok-only,2,0,0.805,0.805,1.0,1.0,0.5,1.06,0.83
