method,pdb_id,quality,n_decoys,docker_top1,oracle,oracle_rank,headroom,reranker_pick,reranker_top1,delta_vs_docker,spearman_score_dockq
af3,3QRX,caution,5,0.525,0.54,1,0.015,,,,
af3,4E81,ok,5,0.904,0.939,4,0.035,,,,
af3,4EZO,caution,5,0.711,0.74,2,0.029,,,,
af3,4EZR,ok,5,0.934,0.952,2,0.017,,,,
af3,4EZS,ok,5,0.287,0.681,2,0.394,,,,
af3,4EZU,ok,5,0.084,0.099,2,0.015,,,,
af3,4JWC,caution,5,0.672,0.681,2,0.009,,,,
af3,6HY2,ok,5,0.289,0.846,4,0.558,,,,
af3,6Z2P,caution,5,0.142,0.837,2,0.695,,,,
af3,8AHT,ok,5,0.404,0.404,0,0.0,,,,
afmultimer,4E81,ok,5,0.93,0.93,0,0.0,,,,
afmultimer,4EZQ,caution,5,0.587,0.617,3,0.031,,,,
afmultimer,4EZS,ok,5,0.294,0.432,3,0.138,,,,
afmultimer,6HY2,ok,5,0.395,0.554,1,0.16,,,,
boltz,6HY2,ok,5,0.928,0.928,0,0.0,,,,
chai,3QRX,caution,5,0.228,0.249,3,0.022,,,,
chai,4E81,ok,5,0.946,0.961,1,0.014,,,,
chai,4EZO,caution,5,0.688,0.729,4,0.041,,,,
chai,4EZQ,caution,5,0.21,0.824,4,0.614,,,,
chai,4EZR,ok,5,0.919,0.924,1,0.005,,,,
chai,4EZS,ok,5,0.375,0.41,1,0.035,,,,
chai,4EZU,ok,5,0.09,0.293,4,0.203,,,,
chai,4JWC,caution,5,0.685,0.691,3,0.006,,,,
chai,6HY2,ok,5,0.206,0.367,1,0.162,,,,
chai,6Z2P,caution,5,0.07,0.451,4,0.381,,,,
chai,7SAY,ok,5,0.068,0.068,3,0.0,,,,
chai,8AHT,ok,5,0.55,0.55,0,0.0,,,,
chai,8GAL,ok,5,0.786,0.786,0,0.0,,,,
protenix,3QRX,caution,5,0.389,0.408,2,0.02,,,,
protenix,4E81,ok,5,0.898,0.906,2,0.008,,,,
protenix,4EZO,caution,5,0.75,0.75,0,0.0,,,,
protenix,4EZQ,caution,5,0.793,0.793,0,0.0,,,,
protenix,4EZR,ok,5,0.909,0.917,2,0.007,,,,
protenix,4EZS,ok,5,0.925,0.925,0,0.0,,,,
protenix,4EZU,ok,5,0.178,0.178,0,0.0,,,,
protenix,4JWC,caution,5,0.653,0.663,1,0.01,,,,
protenix,6HY2,ok,5,0.685,0.787,1,0.102,,,,
protenix,6Z2P,caution,5,0.769,0.782,3,0.014,,,,
protenix,7SAY,ok,5,0.014,0.057,1,0.043,,,,
protenix,8AHT,ok,5,0.656,0.656,0,0.0,,,,
protenix,8GAL,ok,5,0.827,0.827,0,0.0,,,,
