method,pdb_id,model_file,ptm,iptm,ranking_score,has_clash
af3,3QRX,predictions\_raw\af3\3QRX\fold_3qrx_model_0.cif,0.57,0.36,0.53,0.0
chai,3QRX,predictions\_raw\chai\3QRX\pred.rank_0.cif,0.5948,0.4027,0.4411,False
protenix,3QRX,predictions\_raw\protenix\3QRX\protenix_prediction_3QRX\seed_24400\predictions\protenix_prediction_3QRX_sample_0.cif,0.6233,0.6351,0.6327,False
af3,4E81,predictions\_raw\af3\4E81\fold_4e81_model_0.cif,0.9,0.89,0.92,0.0
afmultimer,4E81,predictions\_raw\afmultimer\4E81\output_dir%2F4E81%2Funrelaxed_model_3_multimer_v3_pred_0.pdb,,,0.8569,
chai,4E81,predictions\_raw\chai\4E81\pred.rank_0.cif,0.879,0.6975,0.7338,False
protenix,4E81,predictions\_raw\protenix\4E81\protenix_prediction_4E81\seed_81273\predictions\protenix_prediction_4E81_sample_0.cif,0.9194,0.7852,0.812,False
af3,4EZO,predictions\_raw\af3\4EZO\fold_4ezo_model_0.cif,0.89,0.79,0.85,0.0
chai,4EZO,predictions\_raw\chai\4EZO\pred.rank_0.cif,0.8833,0.7592,0.784,False
protenix,4EZO,predictions\_raw\protenix\4EZO\protenix_prediction_4EZO\seed_20706\predictions\protenix_prediction_4EZO_sample_0.cif,0.9189,0.8373,0.8536,False
afmultimer,4EZQ,predictions\_raw\afmultimer\4EZQ\output_dir%2F4EZQ%2Funrelaxed_model_2_multimer_v3_pred_0.pdb,,,0.8424,
chai,4EZQ,predictions\_raw\chai\4EZQ\pred.rank_0.cif,0.8714,0.6382,0.6849,False
protenix,4EZQ,predictions\_raw\protenix\4EZQ\protenix_prediction_4EZQ\seed_75699\predictions\protenix_prediction_4EZQ_sample_0.cif,0.9232,0.8309,0.8493,False
af3,4EZR,predictions\_raw\af3\4EZR\fold_4ezr_model_0.cif,0.91,0.94,0.95,0.0
chai,4EZR,predictions\_raw\chai\4EZR\pred.rank_0.cif,0.876,0.568,0.6296,False
protenix,4EZR,predictions\_raw\protenix\4EZR\protenix_prediction_4EZR\seed_97887\predictions\protenix_prediction_4EZR_sample_0.cif,0.93,0.959,0.9532,False
af3,4EZS,predictions\_raw\af3\4ezs\fold_4ezs_model_0.cif,0.89,0.74,0.79,0.0
afmultimer,4EZS,predictions\_raw\afmultimer\4EZS\output_dir%2F4EZS%2Funrelaxed_model_2_multimer_v3_pred_0.pdb,,,0.7,
chai,4EZS,predictions\_raw\chai\4EZS\pred.rank_0.cif,0.8746,0.4259,0.5157,False
protenix,4EZS,predictions\_raw\protenix\4EZS\protenix_prediction_c0e15792\seed_67025\predictions\protenix_prediction_c0e15792_sample_0.cif,0.9314,0.9345,0.9339,False
af3,4EZU,predictions\_raw\af3\4EZU\fold_4ezu_model_0.cif,0.88,0.6,0.7,0.0
chai,4EZU,predictions\_raw\chai\4EZU\pred.rank_0.cif,0.8504,0.5309,0.5948,False
protenix,4EZU,predictions\_raw\protenix\4EZU\protenix_prediction_4EZU\seed_91771\predictions\protenix_prediction_4EZU_sample_0.cif,0.9177,0.8079,0.8298,False
af3,4JWC,predictions\_raw\af3\4JWC\fold_4jwc_model_0.cif,0.88,0.78,0.83,0.0
chai,4JWC,predictions\_raw\chai\4JWC\pred.rank_0.cif,0.8379,0.3214,0.4247,False
protenix,4JWC,predictions\_raw\protenix\4JWC\protenix_prediction_4JWC\seed_57781\predictions\protenix_prediction_4JWC_sample_0.cif,0.9225,0.8159,0.8372,False
chai,4JWD,predictions\_raw\chai\4JWD\pred.rank_0.cif,0.8601,0.4832,0.5586,False
protenix,4JWD,predictions\_raw\protenix\4JWD\protenix_prediction_4JWD\seed_79568\predictions\protenix_prediction_4JWD_sample_0.cif,0.9071,0.6898,0.7333,False
af3,6HY2,predictions\_raw\af3\6hy2\fold_6hy2_model_0.cif,0.94,0.66,0.74,0.0
afmultimer,6HY2,predictions\_raw\afmultimer\6HY2\output_dir%2F6HY2%2Funrelaxed_model_3_multimer_v3_pred_0.pdb,,,0.5337,
boltz,6HY2,predictions\_raw\boltz\6hy2\rank_1.cif,0.97,0.88,0.96,
chai,6HY2,predictions\_raw\chai\6HY2\pred.rank_0.cif,0.9212,0.1611,0.3131,False
protenix,6HY2,predictions\_raw\protenix\6HY2\protenix_prediction_dae10dad\seed_79244\predictions\protenix_prediction_dae10dad_sample_0.cif,0.9646,0.8346,0.8606,False
af3,6Z2P,predictions\_raw\af3\6Z2P\fold_6z2p_model_0.cif,0.91,0.39,0.54,0.0
chai,6Z2P,predictions\_raw\chai\6Z2P\pred.rank_0.cif,0.8947,0.2288,0.362,False
protenix,6Z2P,predictions\_raw\protenix\6Z2P\protenix_prediction_4Z2P\seed_11274\predictions\protenix_prediction_4Z2P_sample_0.cif,0.9393,0.5599,0.6357,False
chai,7SAY,predictions\_raw\chai\7SAY\pred.rank_0.cif,0.5994,0.2571,0.3256,False
protenix,7SAY,predictions\_raw\protenix\7SAY\protenix_prediction_7SAY\seed_57809\predictions\protenix_prediction_7SAY_sample_0.cif,0.5858,0.4042,0.4405,False
af3,8AHT,predictions\_raw\af3\8AHT\fold_8aht_model_0.cif,0.54,0.46,0.56,0.0
chai,8AHT,predictions\_raw\chai\8AHT\pred.rank_0.cif,0.7742,0.5621,0.6045,False
protenix,8AHT,predictions\_raw\protenix\8AHT\protenix_prediction_8HAT\seed_95695\predictions\protenix_prediction_8HAT_sample_0.cif,0.7183,0.6355,0.6521,False
chai,8GAL,predictions\_raw\chai\8GAL\pred.rank_0.cif,0.8868,0.8003,0.8176,False
protenix,8GAL,predictions\_raw\protenix\8GAL\protenix_prediction_8GAL\seed_12375\predictions\protenix_prediction_8GAL_sample_0.cif,0.9358,0.9507,0.9477,False
